Description Health Stamina Attack Armor Size
Paarthurnax 1 9 2 3 0
Lydia 2 5 4 3 2
Draugr 6 2 10 4 6
Miraak 4 5 7 3 4
Ahzidal 1 3 2 4 0
Giant 2 5 3 4 1
Alduin 2 5 3 5 0
Troll 8 2 7 10 6
Crab 1 10 2 2 0
Mammoth 7 3 5 6 8
Paarthurnax 1 9 2 3 0
Lydia 2 5 4 3 2
Draugr 6 2 10 4 6
Miraak 4 5 7 3 4
Ahzidal 1 3 2 4 0
Giant 2 5 3 4 1
Alduin 2 5 3 5 0
Troll 8 2 7 10 6
Crab 1 10 2 2 0
Mammoth 7 3 5 6 8
Paarthurnax 1 9 2 3 0
Lydia 2 5 4 3 2
Draugr 6 2 10 4 6
Miraak 4 5 7 3 4
Ahzidal 1 3 2 4 0
Giant 2 5 3 4 1
Alduin 2 5 3 5 0
Troll 8 2 7 10 6
Crab 1 10 2 2 0
Mammoth 7 3 5 6 8
Paarthurnax 1 9 2 3 0
Lydia 2 5 4 3 2
Draugr 6 2 10 4 6
Miraak 4 5 7 3 4
Ahzidal 1 3 2 4 0
Giant 2 5 3 4 1
Alduin 2 5 3 5 0
Troll 8 2 7 10 6
Crab 1 10 2 2 0
Mammoth 7 3 5 6 8
